"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Fregata minor [LC]","Aldabra Atoll",,"Fregata minor","Fregata","minor","Fregata minor","Aves","Pelecaniformes",212654
"Fregata aerial [LC]","Aldabra Atoll",,"Fregata aerial","Fregata","aerial","Fregata aerial",,,
"Phaethon lepturus [LC]","Aldabra Atoll",,"Phaethon lepturus","Phaethon","lepturus","Phaethon lepturus","Aves","Pelecaniformes",212594
"Phaethon rubricauda [LC]","Aldabra Atoll",,"Phaethon rubricauda","Phaethon","rubricauda","Phaethon rubricauda","Aves","Pelecaniformes",212595
"Sula Sula [LC]","Aldabra Atoll",,"Sula Sula",,,,,,
"Sterna caspia [LC]","Aldabra Atoll",,"Sterna caspia","Sterna","caspia","Sterna caspia","Aves","Charadriiformes",567825
"Thalasseus bergii [LC]","Aldabra Atoll",,"Thalasseus bergii","Thalasseus","bergii","Thalasseus bergii","Aves","Charadriiformes",212606
"Sterna sumatrana [LC]","Aldabra Atoll",,"Sterna sumatrana","Sterna","sumatrana","Sterna sumatrana","Aves","Charadriiformes",212608
"Gygis alba [LC]","Aldabra Atoll",,"Gygis alba","Gygis","alba","Gygis alba","Aves","Charadriiformes",344045
"Anous stolidus [LC]","Aldabra Atoll",,"Anous stolidus","Anous","stolidus","Anous stolidus","Aves","Charadriiformes",212629
"Puffinus bailloni (colstoni) [LC]","Aldabra Atoll",,"Puffinus bailloni (colstoni)","Puffinus","bailloni","Puffinus bailloni",,,
"Phoenicopterus ruber [LC]","Aldabra Atoll",,"Phoenicopterus ruber","Phoenicopterus","ruber","Phoenicopterus ruber","Aves","Phoenicopteriformes",212708
"Mobula birostris","Archipiélago de Revillagigedo",,"Mobula birostris","Mobula","birostris","Mobula birostris","Elasmobranchii","Myliobatiformes",1026118
"Megaptera novaeangliae","Archipiélago de Revillagigedo",,"Megaptera novaeangliae","Megaptera","novaeangliae","Megaptera novaeangliae","Mammalia","Cetartiodactyla",137092
"Acanthemblemaria mangognatha","Archipiélago de Revillagigedo","TRUE","Acanthemblemaria mangognatha","Acanthemblemaria","mangognatha","Acanthemblemaria mangognatha","Actinopteri","Blenniiformes",279456
"Chromis limbaughi","Archipiélago de Revillagigedo","TRUE","Chromis limbaughi","Chromis","limbaughi","Chromis limbaughi","Actinopteri","Ovalentaria incertae sedis",273736
"Gobiesox aethus","Archipiélago de Revillagigedo","TRUE","Gobiesox aethus","Gobiesox","aethus","Gobiesox aethus","Actinopteri","Gobiesociformes",275664
"Gobiesox canidens","Archipiélago de Revillagigedo","TRUE","Gobiesox canidens","Gobiesox","canidens","Gobiesox canidens","Actinopteri","Gobiesociformes",275666
"Tomicodon absitus","Archipiélago de Revillagigedo","TRUE","Tomicodon absitus","Tomicodon","absitus","Tomicodon absitus","Actinopteri","Gobiesociformes",282983
"Halichoeres insularis","Archipiélago de Revillagigedo","TRUE","Halichoeres insularis","Halichoeres","insularis","Halichoeres insularis","Actinopteri","Eupercaria incertae sedis",275767
"Holacanthus clarionensis","Archipiélago de Revillagigedo","TRUE","Holacanthus clarionensis","Holacanthus","clarionensis","Holacanthus clarionensis","Actinopteri","Acanthuriformes",276013
"Hypsoblennius proteus","Archipiélago de Revillagigedo","TRUE","Hypsoblennius proteus","Hypsoblennius","proteus","Hypsoblennius proteus","Actinopteri","Blenniiformes",276330
