"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Bodianus bimaculatus","Rock Islands Southern Lagoon",,"Bodianus bimaculatus","Bodianus","bimaculatus","Bodianus bimaculatus","Actinopteri","Eupercaria incertae sedis",218935
"Bodianus Diana","Rock Islands Southern Lagoon",,"Bodianus Diana",,,,,,
"Bodianus mesothorax","Rock Islands Southern Lagoon",,"Bodianus mesothorax","Bodianus","mesothorax","Bodianus mesothorax","Actinopteri","Eupercaria incertae sedis",273536
"Choerodon anchorago","Rock Islands Southern Lagoon",,"Choerodon anchorago","Choerodon","anchorago","Choerodon anchorago","Actinopteri","Eupercaria incertae sedis",277262
"Choerodon azurio","Rock Islands Southern Lagoon",,"Choerodon azurio","Choerodon","azurio","Choerodon azurio","Actinopteri","Eupercaria incertae sedis",277263
"Pseudodax moluccanus","Rock Islands Southern Lagoon",,"Pseudodax moluccanus","Pseudodax","moluccanus","Pseudodax moluccanus","Actinopteri","Eupercaria incertae sedis",219046
"Cheilinus arenatus","Rock Islands Southern Lagoon",,"Cheilinus arenatus","Cheilinus","arenatus","Cheilinus arenatus","Actinopteri","Eupercaria incertae sedis",219037
"Cheilinus bimaculatus","Rock Islands Southern Lagoon",,"Cheilinus bimaculatus","Cheilinus","bimaculatus","Cheilinus bimaculatus","Actinopteri","Eupercaria incertae sedis",219039
"Cheilinus celebecus","Rock Islands Southern Lagoon",,"Cheilinus celebecus","Cheilinus","celebecus","Cheilinus celebecus","Actinopteri","Eupercaria incertae sedis",277995
"Cheilinus chlorourus","Rock Islands Southern Lagoon",,"Cheilinus chlorourus","Cheilinus","chlorourus","Cheilinus chlorourus","Actinopteri","Eupercaria incertae sedis",218941
"Cheilinus digrammus","Rock Islands Southern Lagoon",,"Cheilinus digrammus","Cheilinus","digrammus","Cheilinus digrammus","Actinopteri","Eupercaria incertae sedis",277996
"Cheilinus fasciatus","Rock Islands Southern Lagoon",,"Cheilinus fasciatus","Cheilinus","fasciatus","Cheilinus fasciatus","Actinopteri","Eupercaria incertae sedis",218940
"Cheilinus trilobatus","Rock Islands Southern Lagoon",,"Cheilinus trilobatus","Cheilinus","trilobatus","Cheilinus trilobatus","Actinopteri","Eupercaria incertae sedis",218944
"Cheilinus undulates","Rock Islands Southern Lagoon",,"Cheilinus undulates","Cheilinus","undulates","Cheilinus undulates","Actinopteri","Eupercaria incertae sedis",218945
"Cheilinus unifasciatus","Rock Islands Southern Lagoon",,"Cheilinus unifasciatus","Cheilinus","unifasciatus","Cheilinus unifasciatus","Actinopteri","Eupercaria incertae sedis",278002
"Wetmorella nigropinnata","Rock Islands Southern Lagoon",,"Wetmorella nigropinnata","Wetmorella","nigropinnata","Wetmorella nigropinnata","Actinopteri","Eupercaria incertae sedis",219067
"Epibulus insidiator","Rock Islands Southern Lagoon",,"Epibulus insidiator","Epibulus","insidiator","Epibulus insidiator","Actinopteri","Eupercaria incertae sedis",218972
"Epibulus insidiator","Rock Islands Southern Lagoon",,"Epibulus insidiator","Epibulus","insidiator","Epibulus insidiator","Actinopteri","Eupercaria incertae sedis",218972
"Novaculichthys taeniourus","Rock Islands Southern Lagoon",,"Novaculichthys taeniourus","Novaculichthys","taeniourus","Novaculichthys taeniourus","Actinopteri","Eupercaria incertae sedis",219035
"Cirrhilabrus cyanopleura","Rock Islands Southern Lagoon",,"Cirrhilabrus cyanopleura","Cirrhilabrus","cyanopleura","Cirrhilabrus cyanopleura","Actinopteri","Eupercaria incertae sedis",277842
"Cirrhilabrus exquisitus","Rock Islands Southern Lagoon",,"Cirrhilabrus exquisitus","Cirrhilabrus","exquisitus","Cirrhilabrus exquisitus","Actinopteri","Eupercaria incertae sedis",218954
"Pseudocheilinus evanidus","Rock Islands Southern Lagoon",,"Pseudocheilinus evanidus","Pseudocheilinus","evanidus","Pseudocheilinus evanidus","Actinopteri","Eupercaria incertae sedis",208917
"Pseudocheilinus hexataenia","Rock Islands Southern Lagoon",,"Pseudocheilinus hexataenia","Pseudocheilinus","hexataenia","Pseudocheilinus hexataenia","Actinopteri","Eupercaria incertae sedis",208915
"Pseudocheilinus octotaenia","Rock Islands Southern Lagoon",,"Pseudocheilinus octotaenia","Pseudocheilinus","octotaenia","Pseudocheilinus octotaenia","Actinopteri","Eupercaria incertae sedis",208914
"Pterogogus cryptus","Rock Islands Southern Lagoon",,"Pterogogus cryptus","Pterogogus","cryptus","Pterogogus cryptus","Actinopteri","Eupercaria incertae sedis",219054
"Pterogogus guttatus","Rock Islands Southern Lagoon",,"Pterogogus guttatus","Pterogogus","guttatus","Pterogogus guttatus","Actinopteri","Eupercaria incertae sedis",279211
"Anampses caeruleopuntatus","Rock Islands Southern Lagoon",,"Anampses caeruleopuntatus","Anampses","caeruleopuntatus","Anampses caeruleopuntatus","Actinopteri","Eupercaria incertae sedis",218920
"Anampses caeruleopuntatus","Rock Islands Southern Lagoon",,"Anampses caeruleopuntatus","Anampses","caeruleopuntatus","Anampses caeruleopuntatus","Actinopteri","Eupercaria incertae sedis",218920
"Anampses geographicus","Rock Islands Southern Lagoon",,"Anampses geographicus","Anampses","geographicus","Anampses geographicus","Actinopteri","Eupercaria incertae sedis",218916
"Anampses melanurus","Rock Islands Southern Lagoon",,"Anampses melanurus","Anampses","melanurus","Anampses melanurus","Actinopteri","Eupercaria incertae sedis",279173
"Anampses meleagrides","Rock Islands Southern Lagoon",,"Anampses meleagrides","Anampses","meleagrides","Anampses meleagrides","Actinopteri","Eupercaria incertae sedis",218923
"Anampses twisti","Rock Islands Southern Lagoon",,"Anampses twisti","Anampses","twisti","Anampses twisti","Actinopteri","Eupercaria incertae sedis",218918
"Cheilio inermis","Rock Islands Southern Lagoon",,"Cheilio inermis","Cheilio","inermis","Cheilio inermis","Actinopteri","Eupercaria incertae sedis",218948
"Coris aygula","Rock Islands Southern Lagoon",,"Coris aygula","Coris","aygula","Coris aygula","Actinopteri","Eupercaria incertae sedis",218957
"Coris gaimard","Rock Islands Southern Lagoon",,"Coris gaimard","Coris","gaimard","Coris gaimard","Actinopteri","Eupercaria incertae sedis",218960
"Coris variegata","Rock Islands Southern Lagoon",,"Coris variegata","Coris","variegata","Coris variegata","Actinopteri","Eupercaria incertae sedis",367240
"Gomphosus varius","Rock Islands Southern Lagoon",,"Gomphosus varius","Gomphosus","varius","Gomphosus varius","Actinopteri","Eupercaria incertae sedis",218975
"Halichoeres biocellatus","Rock Islands Southern Lagoon",,"Halichoeres biocellatus","Halichoeres","biocellatus","Halichoeres biocellatus","Actinopteri","Eupercaria incertae sedis",275752
"Halichoeres chloropterus","Rock Islands Southern Lagoon",,"Halichoeres chloropterus","Halichoeres","chloropterus","Halichoeres chloropterus","Actinopteri","Eupercaria incertae sedis",275758
"Halichoeres hortulanus","Rock Islands Southern Lagoon",,"Halichoeres hortulanus","Halichoeres","hortulanus","Halichoeres hortulanus","Actinopteri","Eupercaria incertae sedis",218985
"Halichoeres margaritaceus","Rock Islands Southern Lagoon",,"Halichoeres margaritaceus","Halichoeres","margaritaceus","Halichoeres margaritaceus","Actinopteri","Eupercaria incertae sedis",218987
"Halichoeres marginatus","Rock Islands Southern Lagoon",,"Halichoeres marginatus","Halichoeres","marginatus","Halichoeres marginatus","Actinopteri","Eupercaria incertae sedis",218991
"Halichoeres melanurus","Rock Islands Southern Lagoon",,"Halichoeres melanurus","Halichoeres","melanurus","Halichoeres melanurus","Actinopteri","Eupercaria incertae sedis",275776
"Halichoeres melasmapomus","Rock Islands Southern Lagoon",,"Halichoeres melasmapomus","Halichoeres","melasmapomus","Halichoeres melasmapomus","Actinopteri","Eupercaria incertae sedis",275778
"Halichoeres prospeion","Rock Islands Southern Lagoon",,"Halichoeres prospeion","Halichoeres","prospeion","Halichoeres prospeion","Actinopteri","Eupercaria incertae sedis",275791
"Halichoeres richmondii","Rock Islands Southern Lagoon",,"Halichoeres richmondii","Halichoeres","richmondii","Halichoeres richmondii","Actinopteri","Eupercaria incertae sedis",275795
"Halichoeres scapularis","Rock Islands Southern Lagoon",,"Halichoeres scapularis","Halichoeres","scapularis","Halichoeres scapularis","Actinopteri","Eupercaria incertae sedis",218990
"Halichoeres trimaculatus","Rock Islands Southern Lagoon",,"Halichoeres trimaculatus","Halichoeres","trimaculatus","Halichoeres trimaculatus","Actinopteri","Eupercaria incertae sedis",275804
"Hemigymnus fasciatus","Rock Islands Southern Lagoon",,"Hemigymnus fasciatus","Hemigymnus","fasciatus","Hemigymnus fasciatus","Actinopteri","Eupercaria incertae sedis",218999
"Hemigymnus melapterus","Rock Islands Southern Lagoon",,"Hemigymnus melapterus","Hemigymnus","melapterus","Hemigymnus melapterus","Actinopteri","Eupercaria incertae sedis",218998
"Macropharyngodon meleagris","Rock Islands Southern Lagoon",,"Macropharyngodon meleagris","Macropharyngodon","meleagris","Macropharyngodon meleagris","Actinopteri","Eupercaria incertae sedis",219028
"Macropharyngodon negrosensis","Rock Islands Southern Lagoon",,"Macropharyngodon negrosensis","Macropharyngodon","negrosensis","Macropharyngodon negrosensis","Actinopteri","Eupercaria incertae sedis",278215
"Pseudocoris yamashiroi","Rock Islands Southern Lagoon",,"Pseudocoris yamashiroi","Pseudocoris","yamashiroi","Pseudocoris yamashiroi","Actinopteri","Eupercaria incertae sedis",219045
"Stethojulis bandanensis","Rock Islands Southern Lagoon",,"Stethojulis bandanensis","Stethojulis","bandanensis","Stethojulis bandanensis","Actinopteri","Eupercaria incertae sedis",277106
"Stethojulis","Rock Islands Southern Lagoon",,"Stethojulis",,,,,,
"Thalassoma amblycephalum","Rock Islands Southern Lagoon",,"Thalassoma amblycephalum","Thalassoma","amblycephalum","Thalassoma amblycephalum","Actinopteri","Eupercaria incertae sedis",212216
"Thalassoma hardwickii","Rock Islands Southern Lagoon",,"Thalassoma hardwickii","Thalassoma","hardwickii","Thalassoma hardwickii","Actinopteri","Eupercaria incertae sedis",212217
"Thalassoma janseni","Rock Islands Southern Lagoon",,"Thalassoma janseni","Thalassoma","janseni","Thalassoma janseni","Actinopteri","Eupercaria incertae sedis",273582
"Thalassoma lunare","Rock Islands Southern Lagoon",,"Thalassoma lunare","Thalassoma","lunare","Thalassoma lunare","Actinopteri","Eupercaria incertae sedis",212209
"Thalassoma lutescens","Rock Islands Southern Lagoon",,"Thalassoma lutescens","Thalassoma","lutescens","Thalassoma lutescens","Actinopteri","Eupercaria incertae sedis",273585
"Thalassoma purpureum","Rock Islands Southern Lagoon",,"Thalassoma purpureum","Thalassoma","purpureum","Thalassoma purpureum","Actinopteri","Eupercaria incertae sedis",212213
"Thalassoma quinquevittatum","Rock Islands Southern Lagoon",,"Thalassoma quinquevittatum","Thalassoma","quinquevittatum","Thalassoma quinquevittatum","Actinopteri","Eupercaria incertae sedis",212211
"Thalassoma trilobatum","Rock Islands Southern Lagoon",,"Thalassoma trilobatum","Thalassoma","trilobatum","Thalassoma trilobatum","Actinopteri","Eupercaria incertae sedis",212212
"Diproctacanthus xanthurus","Rock Islands Southern Lagoon",,"Diproctacanthus xanthurus","Diproctacanthus","xanthurus","Diproctacanthus xanthurus","Actinopteri","Eupercaria incertae sedis",218970
"Labrichthys unilineatus","Rock Islands Southern Lagoon",,"Labrichthys unilineatus","Labrichthys","unilineatus","Labrichthys unilineatus","Actinopteri","Eupercaria incertae sedis",219013
"Labroides bicolor","Rock Islands Southern Lagoon",,"Labroides bicolor","Labroides","bicolor","Labroides bicolor","Actinopteri","Eupercaria incertae sedis",219015
"Labroides dimidiatus","Rock Islands Southern Lagoon",,"Labroides dimidiatus","Labroides","dimidiatus","Labroides dimidiatus","Actinopteri","Eupercaria incertae sedis",219014
"Labroides pectoralis","Rock Islands Southern Lagoon",,"Labroides pectoralis","Labroides","pectoralis","Labroides pectoralis","Actinopteri","Eupercaria incertae sedis",278689
"Labropsis alleni","Rock Islands Southern Lagoon",,"Labropsis alleni","Labropsis","alleni","Labropsis alleni","Actinopteri","Eupercaria incertae sedis",278463
"Labropsis micronesica","Rock Islands Southern Lagoon",,"Labropsis micronesica","Labropsis","micronesica","Labropsis micronesica","Actinopteri","Eupercaria incertae sedis",278466
"Halichoeres spp.","Rock Islands Southern Lagoon",,"Halichoeres spp.",,,,,,
"Hemigymnus melapterus","Rock Islands Southern Lagoon",,"Hemigymnus melapterus","Hemigymnus","melapterus","Hemigymnus melapterus","Actinopteri","Eupercaria incertae sedis",218998
"Thalassoma fuscum","Rock Islands Southern Lagoon",,"Thalassoma fuscum","Thalassoma","fuscum","Thalassoma fuscum","Actinopteri","Eupercaria incertae sedis",212212
"Bolbometopon muricatum","Rock Islands Southern Lagoon",,"Bolbometopon muricatum","Bolbometopon","muricatum","Bolbometopon muricatum","Actinopteri","Eupercaria incertae sedis",219074
"Calotomus carolinus","Rock Islands Southern Lagoon",,"Calotomus carolinus","Calotomus","carolinus","Calotomus carolinus","Actinopteri","Eupercaria incertae sedis",219076
"Calotomus spinidens","Rock Islands Southern Lagoon",,"Calotomus spinidens","Calotomus","spinidens","Calotomus spinidens","Actinopteri","Eupercaria incertae sedis",219075
"Cetoscarus bicolor","Rock Islands Southern Lagoon",,"Cetoscarus bicolor","Cetoscarus","bicolor","Cetoscarus bicolor","Actinopteri","Eupercaria incertae sedis",219078
"Hipposcarus longiceps","Rock Islands Southern Lagoon",,"Hipposcarus longiceps","Hipposcarus","longiceps","Hipposcarus longiceps","Actinopteri","Eupercaria incertae sedis",278899
"Leptoscarus vaigiensis","Rock Islands Southern Lagoon",,"Leptoscarus vaigiensis","Leptoscarus","vaigiensis","Leptoscarus vaigiensis","Actinopteri","Eupercaria incertae sedis",219091
"Scarusrubroviolaceus sp?","Rock Islands Southern Lagoon",,"Scarusrubroviolaceus sp?",,,,,,
"Scarus altipinnis","Rock Islands Southern Lagoon",,"Scarus altipinnis","Scarus","altipinnis","Scarus altipinnis","Actinopteri","Eupercaria incertae sedis",276039
"Scarus atropectoralis","Rock Islands Southern Lagoon",,"Scarus atropectoralis","Scarus","atropectoralis","Scarus atropectoralis","Actinopteri","Eupercaria incertae sedis",276065
"Scarus bleekeri","Rock Islands Southern Lagoon",,"Scarus bleekeri","Scarus","bleekeri","Scarus bleekeri","Actinopteri","Eupercaria incertae sedis",277504
"Scarus blotchi","Rock Islands Southern Lagoon",,"Scarus blotchi","Scarus","blotchi","Scarus blotchi","Actinopteri","Eupercaria incertae sedis",219081
"Scarus bowersi","Rock Islands Southern Lagoon",,"Scarus bowersi","Scarus","bowersi","Scarus bowersi","Actinopteri","Eupercaria incertae sedis",277505
"Scarus bleekeri","Rock Islands Southern Lagoon",,"Scarus bleekeri","Scarus","bleekeri","Scarus bleekeri","Actinopteri","Eupercaria incertae sedis",277504
"Scarus chlorodon","Rock Islands Southern Lagoon",,"Scarus chlorodon","Scarus","chlorodon","Scarus chlorodon","Actinopteri","Eupercaria incertae sedis",219093
"Scarus dimidiatus","Rock Islands Southern Lagoon",,"Scarus dimidiatus","Scarus","dimidiatus","Scarus dimidiatus","Actinopteri","Eupercaria incertae sedis",276044
"Scarus festivus","Rock Islands Southern Lagoon",,"Scarus festivus","Scarus","festivus","Scarus festivus","Actinopteri","Eupercaria incertae sedis",219105
"Scarus flavipectoralis","Rock Islands Southern Lagoon",,"Scarus flavipectoralis","Scarus","flavipectoralis","Scarus flavipectoralis","Actinopteri","Eupercaria incertae sedis",276045
"Scarus forsteni","Rock Islands Southern Lagoon",,"Scarus forsteni","Scarus","forsteni","Scarus forsteni","Actinopteri","Eupercaria incertae sedis",276046
"Scarus frenatus","Rock Islands Southern Lagoon",,"Scarus frenatus","Scarus","frenatus","Scarus frenatus","Actinopteri","Eupercaria incertae sedis",219113
"Scarus ghobban","Rock Islands Southern Lagoon",,"Scarus ghobban","Scarus","ghobban","Scarus ghobban","Actinopteri","Eupercaria incertae sedis",219127
"Scarus gibbus","Rock Islands Southern Lagoon",,"Scarus gibbus","Scarus","gibbus","Scarus gibbus","Actinopteri","Eupercaria incertae sedis",219088
"Scarus globiceps","Rock Islands Southern Lagoon",,"Scarus globiceps","Scarus","globiceps","Scarus globiceps","Actinopteri","Eupercaria incertae sedis",219104
"Scarus harid","Rock Islands Southern Lagoon",,"Scarus harid","Scarus","harid","Scarus harid","Actinopteri","Eupercaria incertae sedis",219090
"Scarus hypselopterus","Rock Islands Southern Lagoon",,"Scarus hypselopterus","Scarus","hypselopterus","Scarus hypselopterus","Actinopteri","Eupercaria incertae sedis",276051
"Scarus lepidus","Rock Islands Southern Lagoon",,"Scarus lepidus","Scarus","lepidus","Scarus lepidus","Actinopteri","Eupercaria incertae sedis",219104
"Scarus microhinos","Rock Islands Southern Lagoon",,"Scarus microhinos","Scarus","microhinos","Scarus microhinos","Actinopteri","Eupercaria incertae sedis",277507
"Scarus niger","Rock Islands Southern Lagoon",,"Scarus niger","Scarus","niger","Scarus niger","Actinopteri","Eupercaria incertae sedis",219129
"Scarus oviceps","Rock Islands Southern Lagoon",,"Scarus oviceps","Scarus","oviceps","Scarus oviceps","Actinopteri","Eupercaria incertae sedis",219111
"Scarus prasiognathos","Rock Islands Southern Lagoon",,"Scarus prasiognathos","Scarus","prasiognathos","Scarus prasiognathos","Actinopteri","Eupercaria incertae sedis",219093
"Scraus psittacus","Rock Islands Southern Lagoon",,"Scraus psittacus","Scraus","psittacus","Scraus psittacus",,,
"Scarus quoyi","Rock Islands Southern Lagoon",,"Scarus quoyi","Scarus","quoyi","Scarus quoyi","Actinopteri","Eupercaria incertae sedis",276058
"Scarus rivulatus","Rock Islands Southern Lagoon",,"Scarus rivulatus","Scarus","rivulatus","Scarus rivulatus","Actinopteri","Eupercaria incertae sedis",367210
"Scarus rubroviolaceus","Rock Islands Southern Lagoon",,"Scarus rubroviolaceus","Scarus","rubroviolaceus","Scarus rubroviolaceus","Actinopteri","Eupercaria incertae sedis",219124
"Scarus schlegeli","Rock Islands Southern Lagoon",,"Scarus schlegeli","Scarus","schlegeli","Scarus schlegeli","Actinopteri","Eupercaria incertae sedis",276060
"Scarus sexvittatus","Rock Islands Southern Lagoon",,"Scarus sexvittatus","Scarus","sexvittatus","Scarus sexvittatus","Actinopteri","Eupercaria incertae sedis",219113
"Scarus sordidus","Rock Islands Southern Lagoon",,"Scarus sordidus","Scarus","sordidus","Scarus sordidus","Actinopteri","Eupercaria incertae sedis",219082
"Scarus spinus","Rock Islands Southern Lagoon",,"Scarus spinus","Scarus","spinus","Scarus spinus","Actinopteri","Eupercaria incertae sedis",276061
"Scarus n. sp.?","Rock Islands Southern Lagoon",,"Scarus n. sp.?",,,,,,
"Scarus venosus","Rock Islands Southern Lagoon",,"Scarus venosus","Scarus","venosus","Scarus venosus","Actinopteri","Eupercaria incertae sedis",219125
"Scarus xanthochir","Rock Islands Southern Lagoon",,"Scarus xanthochir","Scarus","xanthochir","Scarus xanthochir","Actinopteri","Eupercaria incertae sedis",219093
"Ellochelon vaigiensis","Rock Islands Southern Lagoon",,"Ellochelon vaigiensis","Ellochelon","vaigiensis","Ellochelon vaigiensis","Actinopteri","Mugiliformes",218878
"Crenimugil crenilabis","Rock Islands Southern Lagoon",,"Crenimugil crenilabis","Crenimugil","crenilabis","Crenimugil crenilabis","Actinopteri","Mugiliformes",151498
"Liza ceramensis","Rock Islands Southern Lagoon",,"Liza ceramensis","Liza","ceramensis","Liza ceramensis","Actinopteri","Mugiliformes",1509596
"Liza melinoptera","Rock Islands Southern Lagoon",,"Liza melinoptera","Liza","melinoptera","Liza melinoptera","Actinopteri","Mugiliformes",1509596
"Liza vaigiensis","Rock Islands Southern Lagoon",,"Liza vaigiensis","Liza","vaigiensis","Liza vaigiensis","Actinopteri","Mugiliformes",218878
"Mugil ceramensis","Rock Islands Southern Lagoon",,"Mugil ceramensis","Mugil","ceramensis","Mugil ceramensis","Actinopteri","Mugiliformes",1509596
"Valemugil seheli","Rock Islands Southern Lagoon",,"Valemugil seheli","Valemugil","seheli","Valemugil seheli","Actinopteri","Mugiliformes",1043477
"Polydactylus sexfilis","Rock Islands Southern Lagoon",,"Polydactylus sexfilis","Polydactylus","sexfilis","Polydactylus sexfilis","Actinopteri","Carangaria incertae sedis",218909
"Shphyraena acutipinnis","Rock Islands Southern Lagoon",,"Shphyraena acutipinnis","Shphyraena","acutipinnis","Shphyraena acutipinnis","Actinopteri","Carangaria incertae sedis",212044
"Sphyraena barracuda","Rock Islands Southern Lagoon",,"Sphyraena barracuda","Sphyraena","barracuda","Sphyraena barracuda","Actinopteri","Carangaria incertae sedis",345843
"Sphyraena forsteri","Rock Islands Southern Lagoon",,"Sphyraena forsteri","Sphyraena","forsteri","Sphyraena forsteri","Actinopteri","Carangaria incertae sedis",212047
"Sphyraena genie","Rock Islands Southern Lagoon",,"Sphyraena genie","Sphyraena","genie","Sphyraena genie","Actinopteri","Carangaria incertae sedis",212049
"Sphyraena novaehollandiae","Rock Islands Southern Lagoon",,"Sphyraena novaehollandiae","Sphyraena","novaehollandiae","Sphyraena novaehollandiae","Actinopteri","Carangaria incertae sedis",273983
"Sphyraena novaehollandiae","Rock Islands Southern Lagoon",,"Sphyraena novaehollandiae","Sphyraena","novaehollandiae","Sphyraena novaehollandiae","Actinopteri","Carangaria incertae sedis",273983
"Parapercis clathrata","Rock Islands Southern Lagoon",,"Parapercis clathrata","Parapercis","clathrata","Parapercis clathrata","Actinopteri","Perciformes",276987
"Parapercis cylindrical","Rock Islands Southern Lagoon",,"Parapercis cylindrical","Parapercis","cylindrical","Parapercis cylindrical","Actinopteri","Perciformes",219155
"Parapercis millipunctata","Rock Islands Southern Lagoon",,"Parapercis millipunctata","Parapercis","millipunctata","Parapercis millipunctata","Actinopteri","Perciformes",219147
"Parapercis xanthozona","Rock Islands Southern Lagoon",,"Parapercis xanthozona","Parapercis","xanthozona","Parapercis xanthozona","Actinopteri","Perciformes",219144
"Helcogramma capidata","Rock Islands Southern Lagoon",,"Helcogramma capidata","Helcogramma","capidata","Helcogramma capidata","Actinopteri","Blenniiformes",402625
"Helcogamma chica","Rock Islands Southern Lagoon",,"Helcogamma chica","Helcogamma","chica","Helcogamma chica","Actinopteri","Blenniiformes",279230
"Atrosalarias fuscus holomelas","Rock Islands Southern Lagoon",,"Atrosalarias fuscus holomelas","Atrosalarias","fuscus","Atrosalarias fuscus","Actinopteri","Blenniiformes",293549
"Cirripectes castaneus","Rock Islands Southern Lagoon",,"Cirripectes castaneus","Cirripectes","castaneus","Cirripectes castaneus","Actinopteri","Blenniiformes",219266
"Cirripectes fuscoguttatus","Rock Islands Southern Lagoon",,"Cirripectes fuscoguttatus","Cirripectes","fuscoguttatus","Cirripectes fuscoguttatus","Actinopteri","Blenniiformes",219255
"Cirripectes perustus","Rock Islands Southern Lagoon",,"Cirripectes perustus","Cirripectes","perustus","Cirripectes perustus","Actinopteri","Blenniiformes",219258
"Cirripectes polyzona","Rock Islands Southern Lagoon",,"Cirripectes polyzona","Cirripectes","polyzona","Cirripectes polyzona","Actinopteri","Blenniiformes",219262
"Cirripectes quagga","Rock Islands Southern Lagoon",,"Cirripectes quagga","Cirripectes","quagga","Cirripectes quagga","Actinopteri","Blenniiformes",219263
"Cirripectes stigmaticus","Rock Islands Southern Lagoon",,"Cirripectes stigmaticus","Cirripectes","stigmaticus","Cirripectes stigmaticus","Actinopteri","Blenniiformes",219265
"Exalias brevis","Rock Islands Southern Lagoon",,"Exalias brevis","Exalias","brevis","Exalias brevis","Actinopteri","Blenniiformes",219286
"Ecsenius bicolor","Rock Islands Southern Lagoon",,"Ecsenius bicolor","Ecsenius","bicolor","Ecsenius bicolor","Actinopteri","Blenniiformes",277652
"Ecsenius opsifrontalis","Rock Islands Southern Lagoon",,"Ecsenius opsifrontalis","Ecsenius","opsifrontalis","Ecsenius opsifrontalis","Actinopteri","Blenniiformes",277673
"Ecsenius sellifer","Rock Islands Southern Lagoon",,"Ecsenius sellifer","Ecsenius","sellifer","Ecsenius sellifer","Actinopteri","Blenniiformes",277683
"Ecsenius yaeyamaensis","Rock Islands Southern Lagoon",,"Ecsenius yaeyamaensis","Ecsenius","yaeyamaensis","Ecsenius yaeyamaensis","Actinopteri","Blenniiformes",277692
"Entomacrodus caudofasciatus","Rock Islands Southern Lagoon",,"Entomacrodus caudofasciatus","Entomacrodus","caudofasciatus","Entomacrodus caudofasciatus","Actinopteri","Blenniiformes",277241
"Entomacrodus cymatobiotus","Rock Islands Southern Lagoon",,"Entomacrodus cymatobiotus","Entomacrodus","cymatobiotus","Entomacrodus cymatobiotus","Actinopteri","Blenniiformes",277245
"Entomacrodus striatus","Rock Islands Southern Lagoon",,"Entomacrodus striatus","Entomacrodus","striatus","Entomacrodus striatus","Actinopteri","Blenniiformes",219282
"Entomacrodus thalassinus","Rock Islands Southern Lagoon",,"Entomacrodus thalassinus","Entomacrodus","thalassinus","Entomacrodus thalassinus","Actinopteri","Blenniiformes",219285
"Blenniella chrysospilos","Rock Islands Southern Lagoon",,"Blenniella chrysospilos","Blenniella","chrysospilos","Blenniella chrysospilos","Actinopteri","Blenniiformes",219248
"Istiblennius edentulous","Rock Islands Southern Lagoon",,"Istiblennius edentulous","Istiblennius","edentulous","Istiblennius edentulous","Actinopteri","Blenniiformes",219294
"Istiblennius lineatus","Rock Islands Southern Lagoon",,"Istiblennius lineatus","Istiblennius","lineatus","Istiblennius lineatus","Actinopteri","Blenniiformes",219296
"Istiblennius periophthalmus","Rock Islands Southern Lagoon",,"Istiblennius periophthalmus","Istiblennius","periophthalmus","Istiblennius periophthalmus","Actinopteri","Blenniiformes",219249
"Istiblennius fowleri","Rock Islands Southern Lagoon",,"Istiblennius fowleri","Istiblennius","fowleri","Istiblennius fowleri",,,
"Rhabdoblennius snowi","Rock Islands Southern Lagoon",,"Rhabdoblennius snowi","Rhabdoblennius","snowi","Rhabdoblennius snowi","Actinopteri","Blenniiformes",282574
"Rhabdoblennius fasciatus","Rock Islands Southern Lagoon",,"Rhabdoblennius fasciatus","Rhabdoblennius","fasciatus","Rhabdoblennius fasciatus",,,
"Salarias segmentatus","Rock Islands Southern Lagoon",,"Salarias segmentatus","Salarias","segmentatus","Salarias segmentatus","Actinopteri","Blenniiformes",278377
"Salarias sp.","Rock Islands Southern Lagoon",,"Salarias sp.",,,,,,
"Stanulus seychellensis","Rock Islands Southern Lagoon",,"Stanulus seychellensis","Stanulus","seychellensis","Stanulus seychellensis","Actinopteri","Blenniiformes",219343
"Omobranchus rotundiceps","Rock Islands Southern Lagoon",,"Omobranchus rotundiceps","Omobranchus","rotundiceps","Omobranchus rotundiceps","Actinopteri","Blenniiformes",278022
"Omox biporos","Rock Islands Southern Lagoon",,"Omox biporos","Omox","biporos","Omox biporos","Actinopteri","Blenniiformes",281879
"Aspidontus dussumieri","Rock Islands Southern Lagoon",,"Aspidontus dussumieri","Aspidontus","dussumieri","Aspidontus dussumieri","Actinopteri","Blenniiformes",219243
"Aspidontus taeniatus taeniatus","Rock Islands Southern Lagoon",,"Aspidontus taeniatus taeniatus","Aspidontus","taeniatus","Aspidontus taeniatus","Actinopteri","Blenniiformes",219242
"Meiacanthus atrodorsalis","Rock Islands Southern Lagoon",,"Meiacanthus atrodorsalis","Meiacanthus","atrodorsalis","Meiacanthus atrodorsalis","Actinopteri","Blenniiformes",279304
"Meiacanthus grammistes","Rock Islands Southern Lagoon",,"Meiacanthus grammistes","Meiacanthus","grammistes","Meiacanthus grammistes","Actinopteri","Blenniiformes",279310
"Plagiotremus laudandus laundandus","Rock Islands Southern Lagoon",,"Plagiotremus laudandus laundandus","Plagiotremus","laudandus","Plagiotremus laudandus","Actinopteri","Blenniiformes",293706
