Rhinella marina
Periconia manihoticola
Phylacia glandulina
Phylacia globosa
Phyllachora noblei
Phyllachora tragiae
Phyllachora winteri
Phyllactinia dalbergia
Phyllosticta hiratsukae
Poculum crocatum
Podonectria coccicola
Poronia oedipus
Pseudocercospora meibomiae
Pseudocercospora purpurea
Pseudocercospora trichophila
Pseudocercospora triumfettae
Pseudorhizina californica
Schizothyrium rufulum
Scutellinia scutellata var. scutellata
Septoria lantanae
Stilbella buquetii
Tetracrium coccicola
Tetracrium incarnatum
Torpedospora radiata
Verruculina enalia
Verticillium insectorum
Vestergrenia multipunctata
Xylaria aemulans
Xylaria bulbosa
Xylaria cubensis
Xylaria feejeensis
Xylaria mellissii
Xylaria multiplex
Zignoëlla truncata
Actitis macularius
Anas bahamensis galapagensis
Anas clypeata
Anas cyanoptera
Anas discors
Anas platyrhynchos domesticus
Anous stolidus galapagensis
Anser anser domesticus
Aphriza virgata
Ardea alba
Ardea herodias cognatis
Ardenna carneipes
Ardenna creatopus
Ardenna grisea
Ardenna pacifica
Arenaria interpres
Asio flammeus galapagoensis
Bombycilla cedrorum
Bubulcus ibis
Buteo galapagoensis
Butorides striata sundevalli
Butorides virescens
Calidris alba
Calidris bairdii
Calidris canutus
Calidris fuscicollis
Calidris himantopus
Calidris mauri
Calidris melanotos
Calidris minutilla
Calidris pusilla
Calidris subruficollis
Camarhynchus heliobates
Camarhynchus pallidus
Camarhynchus parvulus
Camarhynchus pauper
Camarhynchus psittacula
Certhidea fusca
Certhidea olivacea
Chaetura pelagica
Charadrius semipalmatus
Charadrius vociferus
Charadrius wilsonia
Chlidonias niger
Chordeiles minor
Chroicocephalus cirrocephalus
Coccyzus erythropthalmus
Coccyzus lansbergi
Coccyzus melacoryphus
Coereba flaveola
Columba livia
Coturnix coturnix
Creagrus furcatus
Crotophaga ani
Daption capense
Dendrocygna autumnalis
Diomedea epomophora
Diomedea exulans
Dolichonyx oryzivorus
Egretta caerulea
Egretta thula
Egretta tricolor
Falco peregrinus cassini
Fregata magnificens magnificens
Fregata minor
Fregetta grallaria
Fulica americana columbiana
Fulmarus glacialoides
Gallinula galeata
Gallus gallus domesticus
Geospiza conirostris
Geospiza difficilis acutirostris
Geospiza difficilis
Geospiza fortis
Geospiza fuliginosa
Geospiza magnirostris
Geospiza propinqua
Geospiza scandens
Geospiza septentrionalis
Gygis alba
Haematopus palliatus galapagensis
Himantopus mexicanus
Hirundo rustica
Larosterna inca
Larus delawarensis
Larus dominicanus
Laterallus spilonota
Leucophaeus atricilla
Leucophaeus fuliginosus
Leucophaeus pipixcan
Limnodromus griseus
Limosa fedoa
Limosa haemastica
Macronectes giganteus
Macronectes halli
Megaceryle alcyon
Meleagris gallopavo
Mimus macdonaldi
Mimus melanotis
Mimus parvulus
Mimus trifasciatus
Myiarchus magnirostris
Neocrex erythrops
Nomonyx dominicus
Numenius phaeopus
Numida meleagris
Nyctanassa violacea pauper
Oceanites gracilis galapagoensis
Oceanodroma castro
Oceanodroma hornbyi
Oceanodroma leucorhoa
Oceanodroma markhami
Oceanodroma melania
Oceanodroma tethys tethys
Onychoprion fuscatus crissalis
Oreopholus ruficollis
Pachyptila desolata
Pandion haliaetus
Parkesia noveboracensis
Passerina cyanea
Pavo muticus
Pelagodroma marina
Pelecanus occidentalis urinator
Petrochelidon pyrrhonota
Phaethon aethereus
Phaethon rubricauda
Phalacrocorax harrisi
Phalaropus fulicarius
Phalaropus lobatus
Phalaropus tricolor
Pheucticus ludovicianus
Phoebastria irrorata
Phoebastria nigripes
Phoenicopterus chilensis
Phoenicopterus ruber glyphorhynchus
Piranga olivacea
Piranga rubra
Platyspiza crassirostris
Pluvialis fulva
Pluvialis squatarola
Podilymbus podiceps
Porphyrio martinicus
Porzana carolina
Procellaria parkinsoni
Progne modesta
Progne subis
Progne tapera
Protonotaria citrea
Psittacara erythrogenys
Pterodroma inexpectata
Pterodroma leucoptera
Pterodroma phaeopygia
Puffinus griseus
Puffinus subalaris
Pyrocephalus dubius
Pyrocephalus nanus
Quiscalus mexicanus
Riparia riparia
Setophaga petechia aureola
Setophaga ruticilla
Setophaga striata
Sicalis flaveola
Spheniscus mendiculus
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Sterna hirundo
Sula granti
Sula leucogaster
Sula nebouxii excisa
Sula sula
Sula variegata
Thalassarche melanophrys
Thalasseus elegans
Thalasseus maximus
Tringa flavipes
Tringa incana
Tringa melanoleuca
Tringa semipalmata
Tringa solitaria
Tyrannus savana
Tyrannus tyrannus
Tyto alba punctatissima
Vireo olivaceus
Zenaida auriculata
Zenaida galapagoensis
Achnanthes brevipes var. intermedia
Achnanthes submarina
Achnanthes turgida
Amphora micrometra
Amphora pseudoholsatica
Anomoeoneis sphaerophora
Brachysira aponina
Campylodiscus clypeus
Cymatosira lorenziana
Cymbella delicatissima var. beagleana
Cymbella thienemanni
Denticula subtilis
Diploneis caffra
Diploneis smithii var. smithii
Diploneis vacillans var. vacillans
Encyonema ventricosum
Envekadea pseudocrassirostris
Fallacia pseudolitoricola
Fragilaria bronkei
Fragilaria geocollegarum
Fragilaria sopotensis
Frustulia isabelae
Halamphora acutiuscula
Halamphora coffeaeformis
Halamphora cymbifera
Hannaea arcus
Hyalosira hustedtiana
Hyalosynedra fasciculata
Mastogloia braunii f. elongata
Mastogloia braunii
Mastogloia crucicula var. crucicula
Mastogloia drouetiana
Mastogloia habensis
Mastogloia lanceolata
Mastogloia pseudoexigua
Mastogloia pumila
Navicula atwateri
Navicula crateri
Navicula darwiniana
Navicula galapagoensis
Navicula isabelensiformis
Navicula isabelensiminor
Navicula isabelensis
Navicula isabelensoides
Navicula lagunae
Navicula phylleptosomaformis
Navicula tagiana
Navicula willisiae
Navicymbula pusilla
Nitzschia amphibia
Nitzschia beagleana
Nitzschia communis var. hyalina
Nitzschia communis
Nitzschia confinis var. maxima
Nitzschia confinis
Nitzschia elliptica
Nitzschia frustulum
Nitzschia kutzingiana
Nitzschia microcephala
Nitzschia nana
Nitzschia ovalis
Nitzschia palea
Nitzschia paleacea
Nitzschia pusilla
Nitzschia scalpelliformis
Nitzschia sigma
Nitzschia subcommunis
Nitzschia vitrea var. salinarum
Paralia sulcata
Plagiogramma atomus
Rhopalodia gibberula
Rhopalodia musculus
Staurosira punctiformis
Striatella hustedtiana
Synedra isabelae var. isabelae
Synedra isabelae var. minor
Triceratium tripos
Antrodiella reflexa
Asterostroma cervicolor
Auricularia delicata
Auricularia fuscosuccinea
Auriscalpium villipes
Bourdotia petiolata
Bovista dominicensis
Byssomerulius corium
Ceriporia reticulata
Ceriporia xylostromatoides
Cerotelium fici
Chaconia ingae
Clavariadelphus fistulosus
Coltricia fonsecoensis
Coprinopsis urticicola
Coriolopsis polyzona
Coriolus insularis
Crepidotus latifolius var. praelatifolius
Crepidotus polylepidis
Crepidotus sublevisporus
Entoloma depluens
Fibrodontia brevidens
Fomitiporia punctata
Fuscoporia rhabarbarina
Ganoderma applanatum
Ganoderma australe
Ganoderma oerstedii
Ganoderma resinaceum
Ganoderma tornatum
Geastrum lageniforme
Geastrum schweinitzii
Gerronema cyathiforme
Gloeodontia columbiensis
Gymnopilus bakeri
Gymnopilus chrysopellus
Gymnopus confluens
Hemileia vastatrix
Hemimycena delectabilis
Henningsia galapagensis
Hydnodon thelephorus
Hygrocybe parvula
Hymenochaete digita
Hymenochaete epichlora
Hymenochaete luteobadia
Hymenochaete minuscula
Hymenochaete pinnatifida
Hymenochaete rheicolor
Hyphoderma praetermissum
Hyphoderma setigerum
Hyphodontia alutaria
Hyphodontia arguta
Hyphodontia globospora
Hyphodontia pallidula
Hyphodontia tomentosa
Inonotus galapagosensis
Inonotus luteoumbrinus
Kordyana celebensis
Lentinus berteri
Lentinus crinitus
Lentinus swartzii
Lepiota lactea
Lepiota leontoderes
Leucocoprinus cepistipes
Leucocoprinus minimus
Leucocoprinus venezuelanus
Litschauerella clematidis
Lycoperdon ericaeum var. ericaeum
Lycoperdon fuligineum
Marasmiellus purpureus
Marasmiellus ramealis
Marasmiellus ramealis var. ramealis
Marasmiellus ramealis var. subtropicalis
Marasmiellus troyanus
Marasmius cladophyllus
Marasmius ferrugineus
Marasmius hakgalensis
Marasmius ilicis
Marasmius siccus
Marasmius spegazzinii
Micropsalliota brunneosperma
Mycena alphitophora
Mycenastrum corium
Mycobonia flava
Myriostoma coliforme
Nothopanus eugrammus
Odonticium australe
Pellidiscus pallidus
Peniophora meridionalis
Phallus indusiatus
Phanerochaete australis
Phellinus apiahynus
Phellinus contiguus
Phellinus gilvus
Phellinus melleoporus
Phellinus rimosus
Phellinus shaferi
Phellinus umbrinellus
Phellorinia herculeana subsp. herculeana
Phlebia chrysocreas
Phlebiella ardosiaca
Phlebiella nasti
Pholiota galapagensis
Phylloporia spathulata
Pleurotus djamor
Pluteus albostipitatus
Pluteus microsporus
Polyporus arcularius
Polyporus blanchetianus
Polyporus tricholoma
Psathyrella araguana
Psilocybe cubensis
Pterula capillaris
Puccinia borreriae
Puccinia globosipes
Puccinia heterospora
Puccinia lantanae
Puccinia lithospermi
Puccinia melanocephala
Pycnoporus sanguineus
Resupinatus applicatus
Schizopora flavipora
Scytinostroma duriusculum
Scytinostroma portentosum
Sebacina petiolata
Septobasidium pilosum
Simocybe tepeitensis
Subulicystidium longisporum
Thelephora penicillata
Tinctoporellus epimiltinus
Trametes imbricata
Trametes lactinea
Trametes membranacea
Trametes pavonia
Trametes supermodesta
Trametes villosa
Trechispora clancularis
Trechispora farinacea
Tulostoma australianum
Tulostoma occidentale
Uredo scalesiae
Uromyces bidenticola
Uromyces blainvilleae
Uromyces dolichosporus
Uromyces euphorbiicola
Uromyces pictus
Volvariella bombycina
Aetea anguina
Aetea truncata
Aimulosia uvulifera
Alderina smitti
Amathia vidovici
Aplousina filum
Aplousina major
Arthropoma cecilii
Beania mirabilis
Bellulopora bellula
Biflustra arborescens
Biflustra savartii
Borgiola rugosa
Borgiola sp. 1
Bryopesanser pesanseris
Bugula minima
Bugula neritina
Buskia seriata
Callopora verrucosa
Cauloramphus brunea
Cauloramphus spiniferum
Cavaria praesens
Cellaria diffusa
Cellaria veleronis
Celleporaria albirostris
Celleporaria brunnea
Celleporaria hancocki
Celleporaria peristomata
